comp.sepala(cm),larg.sepala(cm),comp.petala (cm),larg. petala(cm)
5.01,3.05,1.4,0.2
4.09,3.00,1.4,0.2
4.07,3.02,1.3,0.2
4.06,3.01,1.5,0.2
5.0,3.06,1.4,0.2
5.04,3.09,1.7,0.4
4.06,3.04,1.4,0.3
5.0,3.04,1.5,0.2
4.04,2.9,1.4,0.2
4.09,3.01,1.5,0.1
5.04,3.07,1.5,0.2
4.08,3.04,1.6,0.2
4.08,3.0,1.4,0.1
4.03,3.0,1.1,0.1
5.08,4.0,1.2,0.2
5.07,4.04,1.5,0.4
5.04,3.09,1.3,0.4
5.01,3.05,1.4,0.3
5.07,3.08,1.7,0.3
5.01,3.08,1.5,0.3
5.04,3.04,1.7,0.2
5.01,3.07,1.5,0.4
4.06,3.06,1.,0.2
5.01,3.03,1.7,0.5
4.08,3.04,1.9,0.2
5.0,3.0,1.6,0.2
5.0,3.04,1.6,0.4
5.02,3.05,1.5,0.2
5.02,3.04,1.4,0.2
4.07,3.02,1.6,0.2
4.08,3.01,1.6,0.2
5.04,3.04,1.5,0.4
5.02,4.01,1.5,0.1
5.05,4.02,1.4,0.2
4.09,3.01,1.5,0.2
5.0,3.02,1.2,0.2
5.05,3.05,1.3,0.2
4.09,3.06,1.4,0.1
4.04,3.0,1.3,0.2
5.01,3.04,1.5,0.2
5.0,3.05,1.3,0.3
4.05,2.3,1.3,0.3
4.04,3.02,1.3,0.2
5.0,3.05,1.6,0.6
5.01,3.08,1.9,0.4
4.08,3.0,1.4,0.3
5.01,3.08,1.6,0.2
4.06,3.02,1.4,0.2
5.03,3.07,1.5,0.2
5.0,3.03,1.4,0.2
7.0,3.02,4.07,1.4
6.04,3.02,4.05,1.5
6.09,3.01,4.09,1.5
5.05,2.3,4.0,1.3
6.05,2.8,4.06,1.5
5.07,2.8,4.05,1.3
6.03,3.03,4.07,1.6
4.09,2.4,3.03,1.
6.06,2.9,4.06,1.3
5.02,2.7,3.09,1.4
5.0,2.,3.05,1.
5.09,3.0,4.02,1.5
6.0,2.2,4.0,1.
6.01,2.9,4.07,1.4
5.06,2.9,3.06,1.3
6.07,3.01,4.04,1.4
5.06,3.0,4.05,1.5
5.08,2.7,4.01,1.
6.02,2.2,4.05,1.5
5.06,2.5,3.09,1.1
5.09,3.02,4.08,1.8
6.01,2.8,4.0,1.3
6.03,2.5,4.09,1.5
6.01,2.8,4.07,1.2
6.04,2.9,4.03,1.3
6.06,3.0,4.04,1.4
6.08,2.8,4.08,1.4
6.07,3.0,5.0,1.7
6.0,2.9,4.05,1.5
5.07,2.6,3.05,1.
5.05,2.4,3.08,1.1
5.05,2.4,3.07,1.
5.08,2.7,3.09,1.2
6.0,2.7,5.01,1.6
5.04,3.0,4.05,1.5
6.0,3.04,4.05,1.6
6.07,3.01,4.07,1.5
6.03,2.3,4.04,1.3
5.06,3.0,4.01,1.3
5.05,2.5,4.0,1.3
5.05,2.6,4.04,1.2
6.01,3.0,4.06,1.4
5.08,2.6,4.0,1.2
5.0,2.3,3.03,1.
5.06,2.7,4.02,1.3
5.07,3.0,4.02,1.2
5.07,2.9,4.02,1.3
6.02,2.9,4.03,1.3
5.01,2.5,3.0,1.1
5.07,2.8,4.01,1.3
6.03,3.03,6.0,2.5
5.08,2.7,5.01,1.9
7.01,3.0,5.09,2.1
6.03,2.9,5.06,1.8
6.05,3.0,5.08,2.2
7.06,3.0,6.06,2.1
4.09,2.5,4.05,1.7
7.03,2.9,6.03,1.8
6.07,2.5,5.08,1.8
7.02,3.06,6.01,2.5
6.05,3.02,5.01,2.
6.04,2.7,5.03,1.9
6.08,3.0,5.05,2.1
5.07,2.5,5.0,2.
5.08,2.8,5.01,2.4
6.04,3.02,5.03,2.3
6.05,3.0,5.05,1.8
7.07,3.08,6.07,2.2
7.07,2.6,6.09,2.3
6.0,2.2,5.0,1.5
6.09,3.02,5.07,2.3
5.06,2.8,4.09,2.
7.07,2.8,6.07,2.
6.03,2.7,4.09,1.8
6.07,3.03,5.07,2.1
7.02,3.02,6.0,1.8
6.02,2.8,4.08,1.8
6.01,3.0,4.09,1.8
6.04,2.8,5.06,2.1
7.02,3.0,5.08,1.6
7.04,2.8,6.01,1.9
7.09,3.08,6.04,2.
6.04,2.8,5.06,2.2
6.03,2.8,5.01,1.5
6.01,2.6,5.06,1.4
7.07,3.0,6.01,2.3
6.03,3.04,5.06,2.4
6.04,3.01,5.05,1.8
6.0,3.0,4.08,1.8
6.09,3.01,5.04,2.1
6.07,3.01,5.06,2.4
6.09,3.01,5.01,2.3
5.08,2.7,5.01,1.9
6.08,3.02,5.09,2.3
6.07,3.03,5.07,2.5
6.07,3.0,5.02,2.3
6.03,2.5,5.0,1.9
6.05,3.0,5.02,2.
6.02,3.04,5.04,2.3
5.09,3.0,5.01,1.8
