ORGAO;FORNECEDOR;CNPJ;OBJETO;VALOR;MODALIDADE;CONTRATO;DATA_ASSINATURA;VIGENCIA_DIAS;PROCESSO_ADM;LICITACAO;EVENTO;DATA_PUBLICACAO
ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;CAB ? MATERIAL E SUPRIMENTOS EIRELI - EPP;21.302.370/0001-53;Registro de preço visando futura e oportuna aquisição de berço em aço, visando atender as necessidades da Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS) da Prefeitura do Município de São Paulo, de acordo com o Termo de Referência constante do Anexo I do Edital.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;16/SMADS/2019;23/9/2020;360;6024.2019/0004399-5;30/SMADS/2019;EXTRATO DE ADITAMENTO;20/10/2020
ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;METALMÓDULOS INDÚSTRIA DE MÓDULOS METÁLICOS HABITA;04.993.281/0001-81;REGISTRO DE PREÇO PARA FUTURAS CONTRATAÇÕES DE EMPRESA ESPECIALIZADA EM ESTRUTURAS PARA LOCAÇÃO MENSAL DE CONTAINERS HABITÁVEIS, COMPREENDENDO TAMBÉM OS RESPECTIVOS SERVIÇOS DE TRANSPORTE, MONTAGEM, INSTALAÇÃO, MANUTENÇÃO PREVENTIVA E CORRETIVA E DESINSTALAÇÃO, DE ACORDO COM O TERMO DE REFERÊNCIA CONSTANTE DO ANEXO I DO EDITAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;01/SMADS/2020;19/2/2020;;6024.2018/0000934-5;08/SMADS/2018;EXTRATO DE ADITAMENTO;12/3/2020
ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;SEAL SEGURANÇA ALTERNATIVA EIRELI;03.949.685/0001-05;Contratação de empresa especializada visando a prestação de serviços de vigilância/segurança patrimonial desarmada e de portaria, com a efetiva cobertura dos postos relacionados na Tabela de Locais, visando atender às necessidades da Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS) da Prefeitura do Município de São Paulo (PMSP), conforme especificações do Edital e seus Anexos.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;04/SMADS/2020;4/3/2020;;6024.2016/0000066-2;37/SMADS/2016;EXTRATO DE ADITAMENTO;12/3/2020
ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;SP BRASIL LOCADORA DE AUTOMOVEIS LTDA;07.191.477/0001-40;PRESTAÇÃO DE SERVIÇO DE TRANSPORTE MEDIANTE DISPONIBILIZAÇÃO DE VEÍCULOS SEMINOVOS, EM CARÁTER NÃO EVENTUAL, COM CONDUTOR E COMBUSTÍVEL, OBJETIVANDO O DESLOCAMENTO E TRANSPORTE DE SERVIDORES NO APOIO A ATIVIDADES TÉCNICAS ADMINISTRATIVAS, DE SUPERVISÃO, DE EXECUÇÃO DE PROJETOS E DEMAIS AÇÕES INSTITUCIONAIS DA PASTA QUE DEMANDEM A PRESTAÇÃO DOS SERVIÇOS REFERENDADOS NO EDITAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;40/SMADS/2019;10/9/2020;;6024.2018/0007595-0;40/SMADS/2019;EXTRATO DE ADITAMENTO;17/9/2020
ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;TROPIC´S COMERCIAL DE UTILIDADES DOMÉSTICAS EIRELI;64.650.583/0001-89;SOFA DE 2 e 3 LUGARES;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;09/SMADS/2019;6/8/2020;360;6024.2019/0003596-8;20/smads/2019;EXTRATO DE ADITAMENTO;22/9/2020
AUTARQUIA HOSPITALAR MUNICIPAL;ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS S/A;00.886.257/0002-73;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LAVANDERIA HOSPITALAR EXTERNA COM LOCAÇÃO DE ENXOVAL E SERVIÇO DE GERENCIAMENTO E CONTROLE DE ENXOVAL PARA AS UNIDADES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;119/2017;31/12/2019;30;6110.2016/0003737-7;020/2017;EXTRATO DE ADITAMENTO;5/2/2020
AUTARQUIA HOSPITALAR MUNICIPAL;CENTRO EUROPA MED. HIP. TRAT. FER. REF. SOC. SIMPL;06.535.787/0001-72;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE OXIGENOTERAPIA HIPERBÁRICA PARA AS UNIDADES DA AUTARQUIA.;;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;TR 001/20 TC 038/17;28/6/2020;360;6110.2017/0000681-3;055/2017;EXTRATO DE CONTRATO / NOTA DE EMPENHO;10/6/2020
AUTARQUIA HOSPITALAR MUNICIPAL;COBRA SAÚDE AMBIENTAL LTDA - ME;12.065.400/0001-64;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO/DESRATIZAÇÃO/DESCUPINIZAÇÃO, NAS DEPENDÊNCIAS DAS UNIDADES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;50/2020;5/8/2020;;6110.2020/0007932-8;218/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;3/9/2020
AUTARQUIA HOSPITALAR MUNICIPAL;EMPREITEC CONSTRUÇÕES E MANUTENÇÕES  LTDA;33.534.793/0001-88;CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE CABINES PRIMÁRIAS, SECUNDÁRIAS E GRUPO DE GERADORES (ENERGIA ELÉTRICA DE EMERGÊNCIA), COM FORNECIMENTO DE MATERIAIS, COMPONENTES, PARTES E PEÇAS PARA O HOSPITAL MUNICIPAL PROF. DR. FERNANDO MAURO PIRES DA ROCHA, PERTENCENTE A ESTA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;107/2015 TA 001/2020;1/7/2020;;2015-0.123.726-4;015/2015;EXTRATO DE ADITAMENTO;23/7/2020
AUTARQUIA HOSPITALAR MUNICIPAL;EMPREITEC CONSTRUÇÕES ELÉTRICAS LTDA;33.534.793/0001-88;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO E INSTALAÇÃO DE 1 (UM) GRUPO MOTOR GERADOR ESTACIONÁRIO, CABINADO/SILENCIOSO PARA A UNIDADE DE PRONTO ATENDIMENTO 24 HORAS VILA SANTA CATARINA (UPA ? VILA SANTA CATARINA).;;PREGÃO PRESENCIAL EXTRATO DE CONTRATO / NOTA DE EMPENHO;266/2014;31/12/2019;;2014-0.282.532-0;204/2014;EXTRATO DE CONTRATO / NOTA DE EMPENHO;16/1/2020
AUTARQUIA HOSPITALAR MUNICIPAL;ENDOQUALITY ENDOSC GASTROINT DIAG E TERAP LTDA EPP;08.432.642/0001-71;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENDOSCOPIA, PARA AS UNIDADES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;001/2020 TC 224/2014;27/7/2020;;2014-0.192.013-2;139/2014;EXTRATO DE ADITAMENTO;3/9/2020
AUTARQUIA HOSPITALAR MUNICIPAL;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE BOMBA DE INFUSÃO CONTÍNUA PARA SERINGA  INCLUINDO MANUTENÇÃO PREVENTIVA E CORRETIVA, PARA AS UNIDADES DESTA AUTARQUIA.;;PREGÃO PRESENCIAL EXTRATO DE CONTRATO / NOTA DE EMPENHO;011/2015;6/5/2020;1;2014-0.256.227-2;184/2014;EXTRATO DE CONTRATO / NOTA DE EMPENHO;1/8/2020
AUTARQUIA HOSPITALAR MUNICIPAL;GASBALL ARMAZENADORA E DISTRIBUIDORA LTDA.;02.430.968/0001-83;AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO ? G.L.P. A GRANEL PARA HM BENEDITO MONTENEGRO PERTENCENTE À AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;108/2019 TR 001/2019;11/1/2020;360;6110.2019/0007393-0;348/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;9/1/2020
AUTARQUIA HOSPITALAR MUNICIPAL;GUERENI SOPRAN ENG E ARQUIT, PROJETOS E CONTRU LT;24.474.596/0001-20;CONTRATAÇÃO DE SERVIÇOS DE EMPRESA DE ENGENHARIA OU ARQUITETURA ESPECIALIZADA EM PROJETO TÉCNICO DE OBTENÇÃO DO AVCB ? AUTO DE VISTORIA DO CORPO DE BOMBEIROS PARA AS UNIDADES HOSPITALARES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;008/2018 TA 003/2020;26/10/2020;90;6110.2018/0000215-1;122/2018;EXTRATO DE ADITAMENTO;10/10/2020
AUTARQUIA HOSPITALAR MUNICIPAL;GUERENI SOPRAN ENG E ARQUIT, PROJETOS E CONTRU LT;24.474.596/0001-20;CONTRATAÇÃO DE SERVIÇOS DE EMPRESA DE ENGENHARIA OU ARQUITETURA ESPECIALIZADA EM PROJETO TÉCNICO DE OBTENÇÃO DO AVCB ? AUTO DE VISTORIA DO CORPO DE BOMBEIROS PARA AS UNIDADES HOSPITALARES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;08/2019 TA 001/2020;26/1/2020;90;6110.2018/0000215-1;122/2018;EXTRATO DE ADITAMENTO;5/2/2020
AUTARQUIA HOSPITALAR MUNICIPAL;LIDERANÇA SERVIÇOS DE LEGALIZAÇÃO IMOBILIÁRIA EIRE;27.864.329/0001-57;CONTRATAÇÃO DE SERVIÇOS DE EMPRESA DE ENGENHARIA OU ARQUITETURA ESPECIALIZADA EM PROJETO TÉCNICO DE OBTENÇÃO DO AVCB ? AUTO DE VISTORIA DO CORPO DE BOMBEIROS PARA AS UNIDADES HOSPITALARES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;009/2019 ta 00122020;22/8/2020;90;6110.2018/0000215-1;122/2018;EXTRATO DE ADITAMENTO;3/9/2020
AUTARQUIA HOSPITALAR MUNICIPAL;LIDERANÇA SERVIÇOS DE LEGALIZAÇÃO IMOBILIÁRIA EIRE;27.864.329/0001-57;CONTRATAÇÃO DE SERVIÇOS DE EMPRESA DE ENGENHARIA OU ARQUITETURA ESPECIALIZADA EM PROJETO TÉCNICO DE OBTENÇÃO DO AVCB ? AUTO DE VISTORIA DO CORPO DE BOMBEIROS PARA AS UNIDADES HOSPITALARES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;009/2019 ta 001/2020;21/2/2020;;6110.2018/0000215-1;122/2018;EXTRATO DE ADITAMENTO;27/3/2020
AUTARQUIA HOSPITALAR MUNICIPAL;LIDERANÇA SERVIÇOS DE LEGALIZAÇÃO IMOBILIÁRIA EIRE;27.864.329/0001-57;CONTRATAÇÃO DE SERVIÇOS DE EMPRESA DE ENGENHARIA OU ARQUITETURA ESPECIALIZADA EM PROJETO TÉCNICO DE OBTENÇÃO DO AVCB ? AUTO DE VISTORIA DO CORPO DE BOMBEIROS PARA AS UNIDADES HOSPITALARES DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;009/2019;22/12/2019;60;6110.2018/0000215-1;122/2018;EXTRATO DE ADITAMENTO;16/1/2020
AUTARQUIA HOSPITALAR MUNICIPAL;LM CONSERVAÇÃO PREDIAL LTDA;10.896.293/0001-90;PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, ASSEIO E CONSERVAÇÃO PREDIAL, VISANDO A OBTENÇÃO DE ADEQUADAS CONDIÇÕES DE SALUBRIDADE E HIGIENE, COM A DISPONIBILIZAÇÃO DE MÃO DE OBRA, SANEANTES DOMISSANITÁRIOS, MATERIAIS E EQUIPAMENTOS, PARA A SEDE DA AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TR 001/20  TC 088/19;26/7/2019;;6110.2019/0004389-5;251/2019;EXTRATO DE ADITAMENTO;12/2/2020
AUTARQUIA HOSPITALAR MUNICIPAL;OXY SYSTEM EQUIPAMENTOS MEDICOS LTDA;58.763.350/0001-90;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE EQUIPAMENTOS ELETROMEDICOS E EQUIPAMENTOS DE ASSISTÊNCIA VENTILATÓRIA PULMONAR MICROPROCESSADOS, NOVOS, INCLUINDO MANUTENÇÃO PREVENTIVA E CORRETIVA, CALIBRAÇÃO E TESTES DE SEGURANÇA COM EMISSÃO DE CERTIFICADOS, PARA AS UNIDADES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 001/20 TC 095/16;11/6/2020;;2015-0.094.268-1;112/2016;EXTRATO DE ADITAMENTO;28/5/2020
